case_id,node_id,target_id,target_min_C,target_max_C,all_time_min_C,all_time_max_C,last_orbit_min_C,last_orbit_max_C,lower_margin_C,upper_margin_C,target_met,orbits_simulated,periodic_converged
nominal_475,battery_eps,battery_normal_C,5.0,35.0,-3.3118894421517666,20.077763096884837,-3.3118894421517666,9.549232726043044,-8.311889442151767,25.450767273956956,NO,17,YES
nominal_475,avionics,electronics_C,-10.0,50.0,-4.772926676684165,20.129621991653096,-4.772926676684165,9.654441054593747,5.227073323315835,40.34555894540625,YES,17,YES
nominal_475,radio_antenna,electronics_C,-10.0,50.0,-4.464665480664053,20.17424465295653,-4.464665480664053,9.697087856005226,5.535334519335947,40.302912143994774,YES,17,YES
nominal_475,camera,electronics_C,-10.0,50.0,-5.480480539809321,20.0,-5.480480539809321,8.406275461590383,4.519519460190679,41.59372453840962,YES,17,YES
nominal_500,panel_plus_x_camera,panel_structure_C,-40.0,85.0,-26.326406496664987,20.0,-26.326406496664987,12.112014101381419,13.673593503335013,72.88798589861858,YES,18,YES
nominal_500,panel_minus_x,panel_structure_C,-40.0,85.0,-26.333232805442265,20.0,-26.333232805442265,11.238750353550529,13.666767194557735,73.76124964644947,YES,18,YES
nominal_500,panel_plus_y,panel_structure_C,-40.0,85.0,-26.333232805442265,20.0,-26.333232805442265,11.238750353550529,13.666767194557735,73.76124964644947,YES,18,YES
nominal_500,panel_minus_y,panel_structure_C,-40.0,85.0,-26.333232805442265,20.0,-26.333232805442265,11.238750353550529,13.666767194557735,73.76124964644947,YES,18,YES
nominal_500,panel_plus_z_ants,panel_structure_C,-40.0,85.0,-26.333232805442265,20.0,-26.333232805442265,11.238750353550529,13.666767194557735,73.76124964644947,YES,18,YES
nominal_500,panel_minus_z,panel_structure_C,-40.0,85.0,-26.333232805442265,20.0,-26.333232805442265,11.238750353550529,13.666767194557735,73.76124964644947,YES,18,YES
nominal_500,structure,panel_structure_C,-40.0,85.0,-7.324221537072731,20.0,-7.324221537072731,9.643440577559488,32.67577846292727,75.35655942244051,YES,18,YES
nominal_500,battery_eps,battery_normal_C,5.0,35.0,-3.2135937883915062,20.077763224507237,-3.2135937883915062,9.666402922009695,-8.213593788391506,25.333597077990305,NO,18,YES
nominal_500,avionics,electronics_C,-10.0,50.0,-4.673955423529776,20.12962225011165,-4.673955423529776,9.774775863664445,5.326044576470224,40.225224136335555,YES,18,YES
nominal_500,radio_antenna,electronics_C,-10.0,50.0,-4.363950979982519,20.174245247039607,-4.363950979982519,9.821226578603955,5.636049020017481,40.178773421396045,YES,18,YES
nominal_500,camera,electronics_C,-10.0,50.0,-5.3798792706786,20.0,-5.3798792706786,8.53651480746828,4.6201207293214,41.46348519253172,YES,18,YES
cold_recovery_475,panel_plus_x_camera,panel_structure_C,-40.0,85.0,-41.0067786957554,-10.0,-41.0067786957554,-16.495982007581574,-1.0067786957554006,101.49598200758157,NO,11,YES
cold_recovery_475,panel_minus_x,panel_structure_C,-40.0,85.0,-41.01460294861073,-10.0,-41.01460294861073,-17.271365716933417,-1.0146029486107295,102.27136571693342,NO,11,YES
cold_recovery_475,panel_plus_y,panel_structure_C,-40.0,85.0,-41.01460294861073,-10.0,-41.01460294861073,-17.271365716933417,-1.0146029486107295,102.27136571693342,NO,11,YES
cold_recovery_475,panel_minus_y,panel_structure_C,-40.0,85.0,-41.01460294861073,-10.0,-41.01460294861073,-17.271365716933417,-1.0146029486107295,102.27136571693342,NO,11,YES
cold_recovery_475,panel_plus_z_ants,panel_structure_C,-40.0,85.0,-41.01460294861073,-10.0,-41.01460294861073,-17.271365716933417,-1.0146029486107295,102.27136571693342,NO,11,YES
cold_recovery_475,panel_minus_z,panel_structure_C,-40.0,85.0,-41.01460294861073,-10.0,-41.01460294861073,-17.271365716933417,-1.0146029486107295,102.27136571693342,NO,11,YES
cold_recovery_475,structure,panel_structure_C,-40.0,85.0,-26.60834642041462,-10.0,-26.60834642041462,-16.097927841304795,13.39165357958538,101.0979278413048,YES,11,YES
cold_recovery_475,battery_eps,battery_normal_C,5.0,35.0,-23.075869958866235,-8.526675301629268,-23.075869958866235,-13.77696386266939,-28.075869958866235,48.77696386266939,NO,11,YES
cold_recovery_475,avionics,electronics_C,-10.0,50.0,-24.833493060337844,-9.890636291625242,-24.833493060337844,-15.797332087432665,-14.833493060337844,65.79733208743266,NO,11,YES
cold_recovery_475,radio_antenna,electronics_C,-10.0,50.0,-24.830039745844573,-9.899044269148419,-24.830039745844573,-16.227408614706007,-14.830039745844573,66.22740861470601,NO,11,YES
cold_recovery_475,camera,electronics_C,-10.0,50.0,-25.398586724761685,-10.0,-25.398586724761685,-17.039362611128638,-15.398586724761685,67.03936261112864,NO,11,YES
cold_heater_off_475,panel_plus_x_camera,panel_structure_C,-40.0,85.0,-49.66345900262829,-10.0,-49.66345900262829,-24.387242555335092,-9.663459002628286,109.38724255533509,NO,52,YES
cold_heater_off_475,panel_minus_x,panel_structure_C,-40.0,85.0,-49.67288736024372,-10.0,-49.67288736024372,-25.189898988574356,-9.67288736024372,110.18989898857436,NO,52,YES
cold_heater_off_475,panel_plus_y,panel_structure_C,-40.0,85.0,-49.67288736024372,-10.0,-49.67288736024372,-25.189898988574356,-9.67288736024372,110.18989898857436,NO,52,YES
cold_heater_off_475,panel_minus_y,panel_structure_C,-40.0,85.0,-49.67288736024372,-10.0,-49.67288736024372,-25.189898988574356,-9.67288736024372,110.18989898857436,NO,52,YES
cold_heater_off_475,panel_plus_z_ants,panel_structure_C,-40.0,85.0,-49.67288736024372,-10.0,-49.67288736024372,-25.189898988574356,-9.67288736024372,110.18989898857436,NO,52,YES
cold_heater_off_475,panel_minus_z,panel_structure_C,-40.0,85.0,-49.67288736024372,-10.0,-49.67288736024372,-25.189898988574356,-9.67288736024372,110.18989898857436,NO,52,YES
cold_heater_off_475,structure,panel_structure_C,-40.0,85.0,-39.14780035089436,-10.0,-39.14780035089436,-28.455376056203534,0.8521996491056427,113.45537605620353,YES,52,YES
cold_heater_off_475,battery_eps,battery_normal_C,5.0,35.0,-38.04418681616366,-9.934005256762248,-38.04418681616366,-28.588372871378056,-43.04418681616366,63.588372871378056,NO,52,YES
cold_heater_off_475,avionics,electronics_C,-10.0,50.0,-37.881603344980505,-9.946257347186986,-37.881603344980505,-28.694676210357386,-27.881603344980505,78.69467621035739,NO,52,YES
cold_heater_off_475,radio_antenna,electronics_C,-10.0,50.0,-37.51102111297777,-9.903656484315434,-37.51102111297777,-28.78253057877629,-27.511021112977772,78.78253057877629,NO,52,YES
